127.0.0.1, 2017-01-19 20:13:52, GET, /, HTTP/1.1, 303, 0.827000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.004000
00
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.160000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.152000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.248000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.284000
127.0.0.1, 2017-01-19 20:14:51, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.128000
127.0.0.1, 2017-01-19 20:14:51, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.316000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:15:03, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.100000
127.0.0.1, 2017-01-19 20:15:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:15:31, GET, /admin/default/peek/welcome/models/db.py, HTTP/1.1, 200, 0.048000
127.0.0.1, 2017-01-19 20:15:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:15:38, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.128000
127.0.0.1, 2017-01-19 20:15:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:15:40, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 200, 0.040000
127.0.0.1, 2017-01-19 20:15:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:17:26, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.100000
127.0.0.1, 2017-01-19 20:17:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:18:45, GET, /admin/default/peek/welcome/views/generic.html, HTTP/1.1, 200, 0.040000
127.0.0.1, 2017-01-19 20:18:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:18:46, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.108000
127.0.0.1, 2017-01-19 20:18:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:18:51, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.080000
127.0.0.1, 2017-01-19 20:18:51, GET, /favicon.ico, HTTP/1.1, 400, 0.004000
127.0.0.1, 2017-01-19 20:18:59, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.132000
127.0.0.1, 2017-01-19 20:19:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:19:12, GET, /admin/default/peek/welcome/models/menu.py, HTTP/1.1, 200, 0.060000
127.0.0.1, 2017-01-19 20:19:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:19:19, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.104000
127.0.0.1, 2017-01-19 20:19:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:19:21, GET, /admin/default/peek/welcome/models/menu.py, HTTP/1.1, 200, 0.052000
127.0.0.1, 2017-01-19 20:19:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:19:22, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.104000
127.0.0.1, 2017-01-19 20:19:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:19:24, GET, /admin/default/peek/welcome/models/db.py, HTTP/1.1, 200, 0.048000
127.0.0.1, 2017-01-19 20:19:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:19:28, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.104000
127.0.0.1, 2017-01-19 20:19:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-21 00:41:04, GET, /, HTTP/1.1, 303, 0.005000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/default/index, HTTP/1.1, 200, 0.305000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-21 00:41:05, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-21 00:41:26, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2017-01-21 00:41:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.051000
127.0.0.1, 2017-01-21 01:18:11, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2017-01-21 01:18:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.041000
127.0.0.1, 2017-01-21 01:18:11, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-21 01:18:11, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2017-01-21 01:18:11, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-21 01:18:11, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-21 01:18:11, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-21 01:18:11, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2017-01-21 01:18:11, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002000
02000
127.0.0.1, 2017-01-21 01:18:11, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-21 01:18:11, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-21 01:18:11, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.002000
127.0.0.1, 2017-01-21 01:18:11, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2017-01-21 01:18:11, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-21 01:18:11, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-21 01:18:11, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000000
127.0.0.1, 2017-01-21 01:19:45, GET, /admin/default/site, HTTP/1.1, 303, 0.123000
127.0.0.1, 2017-01-21 01:19:45, GET, /admin/default/index, HTTP/1.1, 200, 0.042000
127.0.0.1, 2017-01-21 01:19:45, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-21 01:19:45, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-21 01:19:45, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-01-21 01:19:45, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-01-21 01:19:45, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-21 01:19:45, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-21 01:19:45, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-01-21 01:19:45, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
04000
200, 0.004000
127.0.0.1, 2017-01-21 01:19:45, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-01-21 01:19:45, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-01-21 01:19:46, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-01-21 01:19:46, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-01-21 01:19:48, POST, /admin/default/index, HTTP/1.1, 303, 0.056000
127.0.0.1, 2017-01-21 01:19:48, GET, /admin/default/site, HTTP/1.1, 200, 0.060000
127.0.0.1, 2017-01-21 01:19:48, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-21 01:19:48, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-21 01:19:48, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-21 01:19:48, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-21 01:19:48, POST, /admin/default/check_version, HTTP/1.1, 200, 0.241000
127.0.0.1, 2017-01-21 01:19:49, GET, /ourhours/default/index, HTTP/1.1, 200, 0.019000
127.0.0.1, 2017-01-21 01:19:49, GET, /ourhours/static/css/calendar.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-01-21 01:19:49, GET, /ourhours/static/css/web2py.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-01-21 01:19:49, GET, /ourhours/static/css/stupid.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-01-21 01:19:49, GET, /ourhours/static/css/examples.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-01-21 01:19:49, GET, /ourhours/static/js/jquery.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-01-21 01:19:49, GET, /ourhours/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-01-21 01:19:49, GET, /ourhours/static/images/book-5th.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-01-21 01:19:49, GET, /ourhours/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-21 01:19:49, GET, /ourhours/static/images/videos.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-21 01:19:49, GET, /ourhours/static/images/web2py_logo.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-01-21 01:19:49, GET, /ourhours/static/images/book-recipes.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-21 01:19:49, GET, /ourhours/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-01-21 01:20:19, GET, /ourhours/default/index, HTTP/1.1, 200, 0.016000
127.0.0.1, 2017-01-21 01:20:19, GET, /ourhours/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-21 01:20:19, GET, /ourhours/static/css/web2py.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-21 01:20:19, GET, /ourhours/static/css/stupid.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-21 01:20:19, GET, /ourhours/static/css/examples.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2017-01-21 01:20:19, GET, /ourhours/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-21 01:20:19, GET, /ourhours/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2017-01-21 01:20:19, GET, /ourhours/static/js/web2py.js, HTTP/1.1, 304, 0.001000
